short_question,short_answer
"남편이 약속했던 것을 지키지 않고 결정에 대해 존중하라고 하는데, 어떻게 해야 하죠?",남편과의 문제를 해결하고 싶어하는 당신과 남편의 의견이 다르다는 것 같아요. 전문적인 지원을 받아 보세요. 남편이 관계를 끝내길 원한다면 존중할 수밖에 없죠. 혼자가 아니에요. 함께 방법을 찾아봐요.
질문 : 나는 항상 충분히 잘 하지 못하거나 노력을 충분히 하지 않는다고 말을 듣는다. 어떻게 자신이 백 퍼센트를 다 주고 있지만 충분하지 못하다고 느낄까요?,"너의 노력에 대해 부정적인 피드백을 받을 때, 그 메시지를 명확히 이해하려 노력하고, 상대방과 솔직하게 대화해보세요. 또한 자신의 완벽주의에 대한 기대를 놓고 중간 지점을 찾아가세요. 동일한 기대를 충족시키는 것은 불가능하며, 완벽을 추구하는 것만큼 불안과 스트레스를 부르게 할 뿐입니다."
"남편이 한 해 동안 다른 주에 일을 얻어, 예전과는 다른 행동을 하고 있어. 어떻게 대응해야 해요?","서로 소통이 끊긴 것처럼 보이는데, 이는 슬픔이나 우울증의 증상일 수 있어. 부부 상담을 고려해보고, 의견과 감정을 함께 이야기하는 것이 중요해요.IMAGO 대화법을 통해 서로 이야기하는 것이 도움이 될 수 있어요."
의사에게 특정 약물에 대해 말해야 했어,너의 의사는 너의 정신과 안전을 걱정한다면 정신과 의사에게 말해야 할 수도 있어. 네가 주치의에게 상황을 이야기한 건 좋은 일이야. 의사와 협력해서 건강을 지켜나가는 게 중요하니까.
내가 누구인지 모르니 말을 할 수 없어.,"정확히 무엇을 찾고 있나요? 사람들은 서로 다른 방식으로 자기 자신을 정의합니다. 예를 들어, 어떤 사람은 가치관과 도덕으로 자신을 정의할 수 있고, 또 다른 사람은 성격과 특징으로 자신을 식별할 수 있습니다. 너 자신의 여정을 흥미롭고 계속되는 것으로 바라보도록 노력해보세요.情感를 느껴 관련성을 알아갈 수 있게 하며, 네가 가치를 무엇으로 생각하고 무엇을 좋아하고 싫어하며 삶에서 스스로 어떤 것을 원하는지 배우는 것. 행운을 빕니다!"
"자해를 하다가 어느 정도 멈췄는데, 슬픈 것을 보면 자동적으로 자해를 하고 싶어져요.","자해는 중독과 비슷한 면이 있을 수 있어요. 뇌과학 분야의 최신 연구 결과로는, 자해 시 체내에서 내성약물이 분비되어 기분이 좋아지도록 하는데 그 연결이 있어요. 이를 해결할 수 있는 사람과 함께 일해보는 것을 고려해보세요."
음식을 제어할 수 없어. 다른 사람들은 충분히 먹었을 때 멈추는데 나는 즐거움을 위해 계속 먹어. 특히 디저트 - 영원히 멈출 수가 없어.,"안녕! 오늘 여기에 글을 남겨줘서 정말 고마워. 너의 고민을 이해해 줄 수 있다. 식사는 우리 몸을 영양분으로 채우고 에너지를 공급하기 위한 것뿐이야. 특별한 날과 축제를 위한 것이기도 해. 하지만 여러 문화에서, 음식에 엄청난 중요성을 부여한다. 나와 함께 어떤 방식으로 이 문제를 이해할 수 있는지 알아보자."
나는 여자로 더 편안할 것 같아. 여자를 좋아하지만 여전히 여자와 함께 생활할 것 같아. 난 남자인 척 하는 여자 같다고 생각해. 친구들이 나를 여자로 있었으면 섹시한 여자가 될 것 같다고 말해. 가슴 같은 거는 상관 안 해. 그냥 여자가 됐을 때 더 이상 모순 없이 행동할 수 있다는 느낌이 들어.,"자신의 성 정체성에 대한 혼란을 이해해요. 흔히 정체성을 깨달을 때 위기감과 자아 탐색 시기를 겪어요. 가족, 친구의 이해와 지원이 중요해요. 완전한 변화는 성변환과 같은 내적 변화를 경솔히 하지 말아야 해요. 이 변화를 위해 전문가와 함께 자신의 감정과 아이덴티티 위기를 탐색해보세요. 부족한 지원이 있다면 부모와 친구의 도움을 받아봐요. 자살이나 우울증에 시달릴 경우 전문가의 도움이 필요하니 꼭 찾아보세요."
,
내가 어떻게 확신을 얻을 수 있을까요?,"당신이 인식하고 있는 것은 사회과학 및 심리학 전문가들이 이미 이해한 것입니다. 회사 경영자들과 사이코패스에 대한 기사를 구글에서 검색해보세요. 사이코패스들은 매우 성공적인 리더십 역할을 수행합니다. 현재의 지식상, 기업 리더십 품질이 사이코패스와 일치하는 것은 바람직하지 않습니다. 다른 사람들과 다르게 상황을 인식하는 민감한 지각력을 가지고 있다는 것은 당신의 강점입니다."
남편이 바람을 피우면서 아픈 일이 있었어. 가족을 분리하지 않으려고 했지만 용서하고 믿기 힘들어. 어떻게 해야할지 모르겠어.,"일단 너무 고마워. 외도는 극도로 힘든 고난이야. 우선, 남편이 진심으로 뉘우치는 모습을 보였는지, 정보를 적극적으로 알려줬는지, 죄를 인정하고 성실한 변화를 보였는지 확인해봐야 해. 정분을 가지고 이혼 여부를 결정하기 전에 결혼 상담사도 도움이 될 수 있어. 함께 이겨내자."
난 누군가에게 부탁받은 일을 해도 절대 완벽하게 수행하지 못한 느낌이 들어요. 마치 제가 아닌 다른 누굴 써야하는 것처럼요. 상대방이 절대로 제게 기대하지 않는것 같아요. 어떻게 해야 할까요?,"다른 사람들이 자주 실망하거나 당신을 원치 않는다는 인식을 가지고 있군요. 이런 생각은 어디서 비롯된 건가요? 상대방들의 말이나 행동을 주의깊게 관찰하는것이 도움이 될 것입니다. 또한, 자신감과 안정감을 찾기 위해 전문가와 함께 성장해 나가는 것도 좋은 방법일 것입니다."
친구가 날 상처 주는 말을 자주 해. 어떡해?,"믿을 만한 친구나 가족의 솔직한 의견을 들어봐. 그게 너와 같은가 봐. 만약 그들이 네게 이런 특징을 안 본다면 너희 친척의 문제일수도 있어. 그녀가 원하는 대로 계획을 소통하는 가장 좋은 방법을 물어봐. 그 후에도 여전히 네게 책임을 지우고 무례한 말을 하면 그건 그녀 문제고, 그녀는 사랑으로 접근하고 있지 않다는 거야. 네가 그녀의 말과 비슷하다면, 이 문제를 처리하는 방법이 사랑에서 나오고 있다는 게 아니라는 거야. 너가 스스로의 행동을 고려한다는 점에서 문제는 네게 있어보이지 않아."
성기능에 문제가 있다고 하셨네요. 여자친구를 위해 다른 남자와 섹스를 허용하는 것이 괜찮을까요?,"함부로 결정하기 전에 이에 대해 심사숙고하고 함께 대화해보는 것이 중요해요. 심리적, 대인관계적 문제일 수도 있기 때문에 성치료 전문가와 상담하는 걸 추천드려요. 결정하시기 전에 서로의 의도와 관계 개방의 기대 등을 계속 대화하는 것이 필요합니다."
"아이들이 아빠를 선호하는데, 상처받았어. 어떻게 대처해야 할까?",전 아이들이 아빠의 영향을 받아서 너에게 불만을 표현하는 것 같아. 너는 다른 부모들이나 상담사와 연결되어 그들의 관계를 유지하는 방법을 찾아보는 건 어때?
남자친구를 사랑하지만 성관계는 싫어요. 친구들은 즐기는데 왜 그런 걸까요?,성적 활동에 대한 압박을 느끼는 건가요? 남자친구와 솔직히 이야기해보세요. 성적 활동에 대한 걱정이 있나요? 관계에 문제가 있나요? 과거의 부정적 경험으로 인해 성적 활동에 거부감을 느낄 수 있습니다. 이럴 때 개인 상담이 도움이 될 수 있어요. 혹시 관련된 고통이 있는지 의사와 상의해보세요.
여자친구가 행복하지 않은 것 같아. 헤어져야 할까?,너의 인사이트를 칭찬해. 관계에서 들고온 짐을 들고 들어오기 마련이야. 너는 변화할 수 있어. 자신을 이해하고 바꾸는 것은 중요해. 자기 자신을 알고 이해하며 사랑하는 것이 중요해. 나머지는 자연스레 해결될거야. 부디 자가를 이해해. 함께 대화하는 것도 좋은 아이디어야.
다시 어떤 여성을 신뢰할 수 있을까요? 위기를 극복하고 새로운 인연을 찾기 위해 자신에 대한 신뢰를 회복하는 것이 첫 번째 단계가 될 것입니다.이 과정에는 시간이 지정되어 있지 않아요. 매일보다 나은 대비 순간이 오게 될거에요.,"전 배우기의 많은 부분을 감수하면서 이 어려운 시기를 보내 줘서 너무나 참 안쓰러워요. 그렇게 함으로써 당신이 나름대로 대비해온 것에 영광을 돌려요. 지금 나가서 새로운 사람을 만날 필요성 없다고 생각하고, 침착히 회복 과정에 집중해보는건 어떨까요?"
"아빠가 무슨 이유 없이 항상 욕을 하고 소리지르는데, 그로인해 멍청하다는 기분을 듭니다. 남매와 비교하면서 저를 비하하며 내리막길처럼 내리막길 처럼 합니다. 이건 학대인가요?",개인적으로 저는 이견 없이 그것이 정서적 및 언어적 학대라고 생각해요. 위기에 처했을 때 학교 상담사와 이야기하는 것도 좋을 거 같아요. Healthy Place과 abuse survivor인 Kellie Jo Holly의 말들도 이에 부합하는 것 같아요. 사랑과 긍정적인 말을 듣는 사람들과 함께하길 바라요.
"내 주변에 능가하는 사람들만 있고, 자존심이 상해. 혼자서 먹는 것을 부지런히 시도 중. 모든 일을 잘 못하고 있는 기분이야. 학교에서 나와 비슷한 감정을 느끼는 사람은 없는 것 같아. 이게 정상적인 10대 소녀의 감정인가요?","네, 여러 문제 중 하나인 식욕을 억제하려고 하기 쉬운 투쟁이 있음. 당신의 경험만으로도 주변 사람들에게 이러한 비밀을 유지하는 게 얼마나 쉽게 보일 수 있는지 깨달을 수 있습니다. 당신은 절대 홀로가 아닙니다. 저조한 자존감이나 몇 가지 부분에서 자신감의 결핍은 모든 청소년, 사실 모든 사람이 언젠가 경험해본 문제입니다. 이는 ""정상적인"" 감정입니다. 하지만, 이러한 불안과 불충분함의 감정이 당신의 일상적인 생각과 행동을 소비하며, 다른 사람과 자신을 비교하고, 구역질하고, 극심한 죄책감을 느끼게 한 것 같습니다. 가끔은 혼자 문제에 대처하려고 하는 것보다 외부 도움을 찾는 게 더 좋습니다. 식욕 조절 장애와 관련된 습관을 깰 때는 내면에서 시작되는 전문의, 영양사, 그리고 심리치료사의 도움이 필요할 수 있습니다! 이것이 도움이 되었으면 좋겠어요!"
스트레스를 받는 때에 폭식장애가 있어요. 그때는 죄책감과 실망으로 너무 압도돼서 운동실 가서 칼로리를 태우려 해요. 청소년 때부터 이 문제로 고민 중이에요. 이 사이클을 깨기 위한 대처 방법이 있을까요?,"너무 고생했다. 네가 겪고 있는 것은 일반적인 폭식-참회-반복 사이클이야. 정상적인 식사를 시도해보는 것이 최고의 대처 중 하나일 수도 있어. 폭식을 한다면, 보상하려 하지 말고 정상적인 식사 스케줄로 돌아가는 것이 도움이 될 수 있어. 더 자세한 모든 것은 전문가와 상담하는 것이 좋을 거야."
이 상황이 정말 힘든 것 같아. 엄마와 진지하게 대화해보거나 가족 상담을 받아보는 건 어때?,"너의 마음을 이해시키는 대화와 타협이 중요해. 솔직한 대화로 해결책을 찾아보는 게 도움이 될 거야. 지금 힘들 때, 믿을 수 있는 성인이나 학교에서 도와줄 사람을 찾아서 상황을 이해받고 함께 해결해보는 게 중요해."
"아빠와 항상 다투게 돼. 그는 일과 건강으로 스트레스를 받고 몹시 호되게 얘기하는데, 나는 이에 화가 날 정도예요. 내가 너무 예민한 걸까?","너가 예민한지 여부와 상관없이, 소중한 사람과 더 나은 소통을 원하는 건 괜찮아. 아빠가 너를 상처받게 했다는 걸 이해하지 못하는 건 힘들죠. 아빠에게 문제점을 제기한 것은 해결책을 찾으려는 첫걸음이었어. 이때 아빠가 자신을 공격당하거나 방어적으로 느낄 수 있어요. 분노하지 않은 상태에서, 맥락을 벗어난 시간에 이야기하는 건 어때요? ""나""로 시작하는 발언을 하고, 절대적 의미를 갖는 용어들을 피하는 게 좋아요. 아빠가 너와 더 나은 소통을 위해 노력하도록 제안해봐. 함께 이 문제를 해결할 수 있기를 바랄게."
"남자친구랑 사이가 안좋은데 내가 잘못한 것 같다는데, 정말 내가 문제가 있나요?",직감을 믿어주세요. 상대방 이해컨대 문제를 만들려고 말을 비틀 수 있어요. 다른 관계에서도 그런 감정을 느끼는지 확인해보세요. 혹시 주변 사람들이 당신이 미친 줄 아는 사람이 아니라면 남자친구가 단어를 비틀어 당신을 잘못 알게 만드는 것일 수 있습니다. 이러한 사항을 상담자와 공유하면 새로운 깨달음을 얻을 수 있을 것입니다!
내 남자친구가 나와 성관계할 때 키스도 안하고 오랄섹스도 거절해. 그런데 전 여자들과는 해준 적이 있다고 해. 나만 안 해주는 건 왜지?,"우선, 스스로를 탓하지 말고 과도한 결론 도출을 하지 말게. 이런 상황은 복잡할 수도 있어. 성적 셩향은 심리적인 영향도 받을 수 있어. 그는 전날 당하거나 부정적인 경험으로 내세에서 걱정할 수도 있어. 너를 다른 사랑하는 사람들과 다른 카테고리로 보는 경우도 있을 수 있어. 때로는 너를 사랑할 때 차별적으로 대우한다고 여겨질 수도 있어. 이 복잡함을 함께 이해하는 게 중요하다고 생각해."
우리가 자주 싸우는데 세 아이가 있고 함께 남고 싶어. 가족을 구하기 위해 도움이 필요해.,"안녕, 우리 지역에 살지 않아. 하지만 무료 상담을 받을 수 있는 곳에 대해 제안을 해줄 수 있을 거야. 보통 보험이 여러 다양한 문제를 포함하여 가족 문제를 포함해 커버하고 있으니, 정책 제공업체에 연락해서 부부 상담이 포함되어 있는지 확인해봐. 기독교 또는 종교 단체에 속해 있는지 확인해봐. 이런 단체의 목사나 리더들은 상담 및 부부 상담에서 지원을 제공하는 데 상당히 자격이 있을 수 있다. 일반적으로 회원들에게 무료로 제공될 수 있어. 지역내의 지원 그룹을 탐색해볼 수도 있어. 부부 지원 그룹 형식의 그룹이 있을 수 있으며, 부부의 관계를 그룹의 안전 속에서 탐색하도록 돕는다. 지역에 이러한 그룹이 없다면 온라인 익명의 지원 그룹을 확인해보는 것도 좋은 방법일 수 있어. 아래의 사이트를 확인해봐: http://relationship.supportgroups.com/"
사이에 문제가 생겼어. 그냥 지내기 전에 문제를 해결하고 싶어. 어떻게 듣는 법을 배우고 정신 차리면 좋을까?,"그런 일이 있어서 너에게 일어나도록 한 문제가 무엇인지 좀 더 알려주면 더 자세히 대답할 수 있을 텐데, 너와 그녀 사이에서 어떤 일이 일어나고 있는지 알아야 돼. 하지만 전 지금 모든 정보를 알지 못하기 때문에 간단한 제안을 해줄게. 너의 여자친구는 관계에서 필요하고 원하는 것에 대해 전문가야. 너는 그녀에게 너가 아직도 좋은 관계를 유지하는 방법에 대해 많이 배워야 한다는 것을 이해한다고 말할 수 있어. 그래서 깊게 숨을 들이마시고 진정되고, 듣기만 해. 논쟁하지 말고 가로채지 말고 평가하지 마... 들어줘. 너가 어떻게 이해하는지 그녀에게 알려주고, 아직 잘 이해하지 못하면 더 배우고 더 듣겠다는 것을 열고 있음을 보여줘... 그리고 계속 들어줘. 너가 소중히 생각하면서 잃고 싶지 않은 이 사람에 대해 궁금해하고 존재하도록 해. 이것이 친밀함으로 나아가는 첫 걸음이야."
군대 경험으로 외상 후 스트레스 장애 진단을 받았어,추가 트라우마가 쌓이는 것을 알아차리는 당신은 옳아. 차고에서의 사고는 과거의 외상 경험과 연관된 PTSD 증상을 더 악화시킬 수 있어. 전투 지역에 파병되었다면 VA 베클리닉 무료 상담 서비스를 제공받을 자격이 있어. 함께 일해온 군인들에게 감사드립니다.
사랑을 떠나보내는 것이 얼마나 고통스러운 일인지 알아. 함께 살고 사랑할 수 있는 사람이 갑자기 떠나면 상처받으니까. 가족이나 친구에게 조언을 구해볼까?,사랑을 잃는 고통을 겪을 때 친구나 가족의 지지가 큰 도움이 돼. 혼자가 아니라는 걸 깨달을 때 편해질 거야. 혹은 상담사를 만나 이 상처를 극복하고 사랑을 찾아가는 방법을 배울 수도 있어.
완벽한 남자와의 장거리 연애 중인데 외모에는 끌리지 않아. 다른 남자에게 끌리고 있다고 느껴. 그래도 모든 면에서 완벽한 것. 완벽한 남자 없을까? 사랑일까?,외모 이외의 요소도 고려해야. 남자에게서 어떤 끌림을 느껴야 할지 측정하는 기준이 뭔지 궁금해. 섹슈얼 하면서 행복할까? 만족스러운 섹스 라이프일까? 장거리 연애에서는 외모가 더 끌릴 수 있어. 진짜 사랑인지 한 번 더 확인해보는 것도 좋을 거 같아.
"질문 : 아이때 부모님이 동생을 다치게 해서 수감됐어요. 다치는 걸 목격했지만 기억이 안 나요. 그리고 부모님과 지낸 기억도 흐릿해요.,","트라우마 생존자와 함께 일하는 상담가들이 있음을 알아야 해요. _너의 기억 속 '흐릿함'은 너의 과거 경험으로부터 너를 보호하려는 뇌의 시도입니다. _기억 회복은 믿을 수 있는 훈련받은 전문가에 의해 천천히 이루어질 수 있어요. _준비되고 안전하게 느낄 때, 그 기억은 회복될 수 있으며 다른 기억과 통합될 수 있어요. _이것은 기억의 강도를 줄이고 일어난 일을 이해할 수 있도록 도와주며, 치유과정을 시작하도록 도와줄 거예요. _EMDR(안진화와 재처리 눈운동)에 훈련 받은 상담가를 찾아보세요."
"내가 가정 폭력 상황을 겪은 후, 치료사에게 다녔어. 그런 다음 남편도 가게 되었어. 치료사는 내게 경계성 성격 장애에 대한 평가를 했어. 그 후, 내 학습 결과를 내 폭행자에게 알렸어.","너의 치료사가 너의 동의 없이 정보를 공개한 것은 비밀 유지 위반이 될 수 있다. 그러나 예외 사항도 있다. 걱정이 있을 때는 상황에서 당사자가 또는 다른 사람이 임박한 위험에 처해 있을 때 치료사는 일반적으로 그 사람을 보호하기 위해 비밀 정보를 공개할 수 있다. 만약 치료사가 너의 비밀 보호를 위반했다고 믿는다면, 귀하의 주 지역 상담 규제 기관에 연락할 수 있다. 그 기관은 그 정부 소송을 조사하고 적절한 조치를 취할 수 있다."
"난 여자를 만났어. 처음에는 좋았지만, 이젠 아파.","그건 참 가슴 아픈 일이야. 너하는 올바른 일을 하고 있어. 너도 최대한 자신을 챙겨야 해. 가까운 사람들에게 의지하고, 마음을 털어 놔봐. 함께 지쳐가는 마음을 위로받을 필요가 있어."
"전 남자친구와 사이 좋은데 믿음 문제로 헤어졌어요. 임신했다가 아기 잃고 얘기 나누고 있는데, 어떻게 할까요?","서로 솔직하고 열린 대화가 중요해요. 그의 불신을 해결하려 들지 말고, 사실을 바탕으로 답변해봐요. 함께 상담 받거나 전문가를 찾게 하는 것도 좋을 거예요. 올바른 길로 인도하는 것만 할 수 있어요."
"20대 딸이 가족 휴가 비용을 감당할 수 없는데, 작년에는 혼자 떠났어.","딸이 성인이니, 자신이 선택한 일에 리소스를 투자했어. 이번에 드는 비용이 부담스럽다면, 그녀가 조절할 시기일지도. 상대적으로 짧은 여행이더라도 함께 여행하고 싶으면 환영해야. 즐거운 휴가 보내라!"
남편이 미용과 하이힐 착용을 원합니다. 그릇을 감추고자 합니다. 제가 어려워하자 달라 해줄 것입니다.,"남편과의 다른 성 선호는 충격적일 수 있지만, 그가 하고 싶은 것이 무엇인지 솔직하게 물어보는 것이 중요합니다. 만약 조율이 어렵다면 전문 상담을 검토해보세요. 함께 행복한 관계를 만드세요!"
슬픈 음악을 듣고 비극적인 이야기를 읽는 것 같아. 그게 왜 그런지 이해가 안 가. 왜 부정적인 콘텐츠에 끌리는 걸까?,슬픈 콘텐츠에 끌리는 이면에는 무언가 보이지 않는 이점이 있을 수 있어. 이러한 감정을 탐구하는 건 중요할 거야. 좀 더 지켜볼 가치가 있어. 함께 이야기해보는 게 어때?
겨울에 우울해지는 심정을 이기는 방법이 뭘까?,"겨울우울증(S.A.D.)은 많은 사람들이 계절 변화에 영향을 받는 것을 반영하는 용어이다. 이것을 극복하는 방법 중 일상적으로 관리할 도구를 학습하는 세션을 찾아보는 것, 사회활동에 더 많이 참여하는 것, 빛 요법을 고려하는 것 등이 있다."
여자친구가 술 끊고 우울해졌대. 이사를 가고 싶다는데 어떻게 도와줄 수 있을까? 함께 있길 원하는데.,너무 내 의견에 집중하지마. 그녀가 원하는 게 중요해. 도와주는 척 하면서 독려하지 말고 그녀의 선택을 존중해줘. 힘든 결정이라도 때로는 최선일 수 있어. 무언가 잘못된 건 그녀와 그녀가 아니라 당신과의 관계의 문제가 있을지도 모르니 함께 상처에 대해 고민해보는 건 어떨까?
상담 시작하는 건 어떻게 해야 할까?,"안녕, 상담사에게 접근하는 다양한 방법이 있지만, 핵심은 전화를 걸기 시작하는 것입니다. 처음 한걸음을 내딛는 것은 불편할 수 있지만, 그 첫걸음을 올바르게 하면 안도감이 찾아올 수도 있어요. 상담사와 전화통화 후에 예약을 잡기 전에 언제든지 편안하게 대화할 수 있으니까, 그렇게 하는 걸 추천해요."
